x,y
1.916219753096895e+00,-1.488325849119211e-01
1.932037023135824e+00,-1.500585479825204e-01
1.947853817697070e+00,-1.512844108483713e-01
1.963670132883276e+00,-1.525101726881234e-01
1.979485964797081e+00,-1.537358326804264e-01
1.995301309541129e+00,-1.549613900039297e-01
2.011116163218063e+00,-1.561868438372832e-01
2.026930521930522e+00,-1.574121933591363e-01
2.042744381781150e+00,-1.586374377481386e-01
2.058557738872588e+00,-1.598625761829398e-01
2.074370589307478e+00,-1.610876078421894e-01
2.090182929188463e+00,-1.623125319045371e-01
2.105994754618184e+00,-1.635373475486324e-01
2.121806061699284e+00,-1.647620539531251e-01
2.137616846534403e+00,-1.659866502966645e-01
2.153427105226185e+00,-1.672111357579005e-01
2.169236833877270e+00,-1.684355095154825e-01
2.185046028590302e+00,-1.696597707480602e-01
2.200854685467921e+00,-1.708839186342832e-01
2.216662800612770e+00,-1.721079523528011e-01
2.232470370127490e+00,-1.733318710822634e-01
2.248277390114725e+00,-1.745556740013199e-01
2.264083856677115e+00,-1.757793602886200e-01
2.279889765917303e+00,-1.770029291228135e-01
2.295695113937930e+00,-1.782263796825498e-01
2.311499896841639e+00,-1.794497111464786e-01
2.327304110731071e+00,-1.806729226932496e-01
2.343107751708868e+00,-1.818960135015123e-01
2.358910815877673e+00,-1.831189827499163e-01
2.374713299340127e+00,-1.843418296171112e-01
2.390515198198872e+00,-1.855645532817466e-01
2.406316508556551e+00,-1.867871529224722e-01
2.422117226515804e+00,-1.880096277179375e-01
2.437917348179274e+00,-1.892319768467921e-01
2.453716869649603e+00,-1.904541994876857e-01
2.469515787029434e+00,-1.916762948192677e-01
2.485314096421407e+00,-1.928982620201880e-01
2.501111793928164e+00,-1.941201002690960e-01
2.516908875652348e+00,-1.953418087446413e-01
2.532705337696601e+00,-1.965633866254736e-01
2.548501176163565e+00,-1.977848330902425e-01
2.564296387155881e+00,-1.990061473175975e-01
2.580090966776192e+00,-2.002273284861883e-01
2.595884911127139e+00,-2.014483757746645e-01
2.611678216311364e+00,-2.026692883616756e-01
2.627470878431510e+00,-2.038900654258713e-01
2.643262893590217e+00,-2.051107061459011e-01
2.659054257890130e+00,-2.063312097004148e-01
2.674844967433887e+00,-2.075515752680618e-01
2.690635018324134e+00,-2.087718020274918e-01
2.706424406663510e+00,-2.099918891573545e-01
2.722213128554658e+00,-2.112118358362993e-01
2.738001180100220e+00,-2.124316412429759e-01
2.753788557402837e+00,-2.136513045560340e-01
2.769575256565153e+00,-2.148708249541230e-01
2.785361273689809e+00,-2.160902016158927e-01
2.801146604879445e+00,-2.173094337199925e-01
2.816931246236706e+00,-2.185285204450722e-01
2.832715193864231e+00,-2.197474609697813e-01
2.848498443864665e+00,-2.209662544727694e-01
2.864280992340648e+00,-2.221849001326862e-01
